event,date,country,city,artist,album,track,isrc,linkid,Year,Month,Day
preview,2021-08-23,United States,Fort Worth,"Lil Baby, Lil Durk, Travis Scott",The Voice of the Heroes,Hats Off (feat. Travis Scott),USUG12101600,3f8df856-e7de-46e8-ad58-65b2dc89b41d,2021,August,23
preview,2021-08-23,Saudi Arabia,Jeddah,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8,2021,August,23
preview,2021-08-23,Saudi Arabia,Jeddah,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8,2021,August,23
preview,2021-08-23,Saudi Arabia,Jeddah,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),QZJRC1945204,c2c876ab-b093-4750-9449-6b4913da6af3,2021,August,23
preview,2021-08-23,Saudi Arabia,Riyadh,Anne-Marie,Beautiful,Beautiful,GBAHS2100225,522da5cc-8177-4140-97a7-a84fdb4caf1c,2021,August,23
preview,2021-08-23,United States,The Bronx,Roddy Ricch,Late At Night,Late At Night,USAT22102236,a82e72d8-523f-43ab-9fd0-992605d54b4e,2021,August,23
preview,2021-08-23,United States,Lenoir City,Dixie,FUCKBOY,FUCKBOY,ZZOPM2105343,dc1e0321-73a5-4254-bce4-57e4fa9c562b,2021,August,23
preview,2021-08-23,United Kingdom,Croydon,Remble,Gordon R Freestyle,Gordon R Freestyle,QZDA42110173,fa757d7c-2ac5-4301-9fe7-890cd44a749c,2021,August,23
preview,2021-08-23,Saudi Arabia,Riyadh,Ed Sheeran,÷ (Deluxe),Perfect,GBAHS1700024,7ba36fe9-da9f-4f14-ac38-920d0346cc3b,2021,August,23
preview,2021-08-23,Saudi Arabia,Jeddah,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8,2021,August,23
preview,2021-08-23,Saudi Arabia,Jeddah,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8,2021,August,23
preview,2021-08-23,France,Orléans,"DLJ, BIDØ",Time Capsule,To the Moon,GBKQU2171093,0211bf4d-0e9d-46c2-889c-f97872280820,2021,August,23
preview,2021-08-23,France,Aulnay-sous-Bois,Tundra Beats,Beautiful Day,Beautiful Day,QZHN92194591,e849515b-929d-44c8-a505-e7622f1827e9,2021,August,23
preview,2021-08-23,Saudi Arabia,Jeddah,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8,2021,August,23
preview,2021-08-23,Saudi Arabia,Riyadh,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8,2021,August,23
preview,2021-08-23,Saudi Arabia,Jeddah,Uzumaki Baka,Agar Tum Sath Ho Remix,Agar Tum Sath Ho Remix,BXY5K2118446,92699f7a-acc7-4262-af67-12ffbd31d17d,2021,August,23
preview,2021-08-23,Saudi Arabia,Jeddah,Anne-Marie,Beautiful,Beautiful,GBAHS2100225,522da5cc-8177-4140-97a7-a84fdb4caf1c,2021,August,23
preview,2021-08-23,Iraq,Erbil,Sueco,Paralyzed,Paralyzed,USAT22104499,52762e40-cb7a-4a8a-beb7-03fbd6cca9f8,2021,August,23
preview,2021-08-22,Saudi Arabia,Jeddah,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8,2021,August,22
preview,2021-08-22,United States,Minnetonka,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),QZJRC1945204,c2c876ab-b093-4750-9449-6b4913da6af3,2021,August,22
preview,2021-08-22,United States,Copperas Cove,"Kayla Nicole, Taylor Girlz, Flo Milli","Bundles 2 (feat. Flo Milli, Taylor Girlz)","Bundles 2 (feat. Flo Milli, Taylor Girlz)",QMCE32100359,fbf4b935-f961-4b13-b1d8-45ad47093559,2021,August,22
preview,2021-08-22,Philippines,Iloilo City,Bazzi,I Like That,I Like That,USAT22102088,2f6e4168-fdae-4e65-967b-220bccc68780,2021,August,22
preview,2021-08-22,United States,Orangeburg,Cassie,Cassie (U.S. Version),Me & U,USBB40610361,ca74d4ae-51ce-451d-8bd7-809443d1798a,2021,August,22
preview,2021-08-22,Saudi Arabia,Jeddah,Tundra Beats,Beautiful Day,Beautiful Day,QZHN92194591,e849515b-929d-44c8-a505-e7622f1827e9,2021,August,22
preview,2021-08-22,India,Lucknow,Tundra Beats,Beautiful Day,Beautiful Day,QZHN92194591,e849515b-929d-44c8-a505-e7622f1827e9,2021,August,22
preview,2021-08-22,Saudi Arabia,Riyadh,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8,2021,August,22
preview,2021-08-22,Saudi Arabia,Jeddah,"Pop Smoke, Future",Faith,Mr. Jones (feat. Future),USUM72112394,8b48aa99-94f3-4a8c-9a56-bcc0b2ac9fa8,2021,August,22
preview,2021-08-22,Kuwait,Kuwait City,Ed Sheeran,÷ (Deluxe),Perfect,GBAHS1700024,7ba36fe9-da9f-4f14-ac38-920d0346cc3b,2021,August,22
preview,2021-08-22,India,Pune,Bella Poarch,Build a Bitch,Build a Bitch,USWB12101016,a107c329-5d35-4c7d-8050-50bc69ce7dbc,2021,August,22
preview,2021-08-22,Kuwait,Kuwait City,"50 Cent, Olivia",The Massacre,Candy Shop,USIR10500072,97105aff-3e40-4c2e-bfeb-563b55e8f5dd,2021,August,22
preview,2021-08-22,Saudi Arabia,Riyadh,Mohamed Hamaki,Kol Yom Men Dah,Baeit Maah,EGA1C1900007,52db3420-2f56-4d7d-8b53-57ad96b337d4,2021,August,22
preview,2021-08-22,New Zealand,Auckland,Bella Poarch,Build a Bitch,Build a Bitch,USWB12101016,a107c329-5d35-4c7d-8050-50bc69ce7dbc,2021,August,22
preview,2021-08-22,Saudi Arabia,Al Hufuf,Tesher,Jalebi Baby,Jalebi Baby,QZNWQ2070741,2d896d31-97b6-4869-967b-1c5fb9cd4bb8,2021,August,22
preview,2021-08-22,Peru,Trujillo,"DMNDS, Strange Fruits Music, Fallen Roses, Lujavo, Nito-Onna",Calabria (feat. Lujavo & Nito-Onna),Calabria (feat. Lujavo & Nito-Onna),GBSMU9833211,681d888a-59ce-4acb-b7c5-95dab0c063d9,2021,August,22
